data\ca\154927\1231506\112988471.html,Rainbow Motor Inn,"""Not a bad place at all for the price. I rented a room with a kitchenette and it had everything I needed..and for the right price! Sure it needs a paint job inside, but the room was clean, and the furniture was in good shape.",4,positive
data\ca\154927\1231506\138265023.html,Rainbow Motor Inn,"""The motel appears well kept both inside & out. We were quite happy with our room.  It was clean and comfortable and it even had a living room area.  There are gardens and picnic tables to enjoy in the yard.\n\nIt was a great price, less than I figured it was going to be, and a nicer room than I expected.  It was the least expensive of 10 different places we stayed during this trip around BC & AB.  We would happily stay there again.",5,positive
data\ca\154927\1231506\147326672.html,Rainbow Motor Inn,"""It's cheaper but carpets have never been cleaned, entire bathroom and kitchen laminate floors are sticky, and the room smells like pee, no joke. You get two pillows only, I pair of towels, bring your own soap and tea though (even when i have the kitchenette), don't forget hangers too if you need them. A kitchenette is a two burner stove top only and a small fridge. ",2,negative
data\ca\154927\1231506\233328579.html,Rainbow Motor Inn,"""I was looking for a one night stay on my way through Chilliwack and simply wanted a clean room with a good bed for a reasonable price. I got all of this, and was pleased with the extra space provided by a separate bedroom from the living room area. It even had a basic kitchenette. The bed was comfortable. The room was clean. Nothing fancy, but it worked great for me.\n\nBill was very helpful with my questions and requests. I would stay here again.",5,positive
data\ca\154927\1231506\274891454.html,Rainbow Motor Inn,"""One time yes ants were in the room, tho immediately housekeeping took care of it-problem solved-believe me in other countries in MUCH more expensive hotels there were many more varmits in the room,rats, snakes, milions of ants in a room in costa rica,things living in the walls...a few ants in my room one was NOTHING to be concerned about. Even in abbotsford I had stayed at a VERY expensive hotel overrun in summertime with ants-its something to be dealt with is all and they do it well.My room is always clean-the cleaning staff always happy and helpful-the front desk is always happily answering my phone calls and questions-FRANKLY WHEN IN CHILLIWACK I DONT EVEN BOTHER STAYING ANYPLACE ELSE.one mans opinion based on many dozens of visits.5 star service at a lo price-these days what more can you ask for??",5,positive
data\ca\154927\1231506\28016762.html,Rainbow Motor Inn,"""We have stayed at this location several times over the past few years. The rooms are not being maintained properly....the bed was awful, hole in the bathroom wall, old and stained carpet, worn out furniture, dirty windows, broken chairs outside in front of the room....\n\nWon't be back again!",2,negative
data\ca\154927\1231506\301489028.html,Rainbow Motor Inn,"""We needed an overnight rest stop and found this property on-line for $69 Cdn plus tax. The room was spacious, clean and well furnished with a love seat and chair plus desk. The grounds are very nicely kept.  The motel is just north of the TCH on Yale Rd, so is easy to get to and from.  There are numerous eating places and gas stations in the immediate vicinity. Very little street noise, nothing obtrusive. Only negative- the heating\u002Fair conditioning is quite noisy.",4,positive
data\ca\154927\1231506\302911397.html,Rainbow Motor Inn,"""I stayed at the Rainbow Motor Inn in Chilliwack during a recent business trip, the owner, and East Indian gent, was very sweet to deal with. He ensured I knew that I could park my  bike in front of my room, helped me get connected to their WIFI which they were having trouble with.  The exterior of the property is VERY clean and attractive, the rooms are in need of some fresh paint and updated furnishings, but were clean. The bed was comfortable enough and the room had a coffee pot and fridge.\n\nThe parking lot is one of the nicest I have experienced with incredibly well laid asphalt that was exceedingly clean, no sand, no gravel, no pot holes - it was like being on a tennis court not a parking lot! Important when you are parking a motorcycle.\n\nFor $80 including tax, it was a decent place to stay and I would recommend the property to anyone staying in the Chilliwack region.",3,negative
data\ca\154927\1231506\308179753.html,Rainbow Motor Inn,"""Stayed 2X in late Aug-Sept '15 on the way out to the Island and on the way back. \nPrice was right and service\u002Fstaff were great.The rooms were clean but in need of an upgrade,  Dings in the walls beside chairs and general wear n tear. Towels are thin and on the small side.  I used to make my living on the road and came to hate the hotel scene, however we would stay here again. Good Chinese across the road and a Tim's drive through down the block. Close proximity to TCH #1",4,positive
data\ca\154927\1231506\412344021.html,Rainbow Motor Inn,"""The rooms were needing a fresh coat of paint and one of the towels was stained. But the bed was comfortable. I did have a private balcony which was nice. You get what you pay for, and I needed an inexpensive room. $78 not too bad. I would stay there again.",3,negative
